"Almighty God, our heavenly Father,","","Copyright © 1980 Central Board of Finance * of the Church of England.  Used by permission.","Copyright © 1980 Central Board of Finance","","",
"Almighty God to whom all hearts are open,","","The Alternative Service Book (1980) * Copyright © The Central Board of Finance of the Church of England, 1980; The Archbishops' Council, 1999","The Alternative Service Book (1980)","","",
"Almighty God, we bring you priase ,","","Austin Martin. * Copyright © 1983 Kingsway's Thankyou Music.","Austin Martin","","",
"Almighty God, faithful and true","","Mark Vargeson * Copyright © 2001 Thankyou Music","Mark Vargeson","","",
"Almighty sovereign Lord,","","Phil Lawson Johnston. * Copyright © 1987 Kingsway's Thankyou Music.","Phil Lawson Johnston","","",
"Amazing Grace (My chains are gone);","","2006 worshiptogether.com songs/sixsteps Music","J Newton/J P Rees | E O Excell","SOF #1702","",
"Amazing grace, (Nat Fellingham)","","John Newton (1725-1807), adapt. Nathan Fellingham * Copyright © 2000 Thankyou Music","John Newton (1725-1807) | adapt. Nathan Fellingham","","",
"Amazing grace!;","","John Newton. *","John Newton","SOF #19","",
"Among the gods","","Carol Owen. * Copyright © 1993 Kingsway's Thankyou Music.","Carol Owen","","",
"An army of ordinary people,","","Dave Bilbrough. * Copyright © 1983 Kingsway's Thankyou Music.","Dave Bilbrough","","",
"And after all","","Paul Oakley * Copyright © 2001 Thankyou Music","Paul Oakley","","",
"And can it be","","Charles Wesley. *","Charles Wesley","","",
"And from Your fulness","","Mark Altrogge. * Copyright © 1992 People of Destiny International/Word Music/Adm. by CopyCare.","Mark Altrogge","","",
"And He shall reign","","Graham Kendrick. * Copyright © 1991 Make Way Music.","Graham Kendrick","","",
"And I'm forgiven","","Billy James Foote * Copyright © 1999 worshiptogether.com songs/Adm. by Kingsway Music","Billy James Foote","","",
"Angel voices ever singing","","Francis Pott. *","Francis Pott","","",
"Angels bow","","Keith Getty * Copyright © 2002 Thankyou Music","Keith Getty","","",
"Angels, from the realms of glory,","","James Montgomery. *","James Montgomery","","",
"Anointing, fall on me,","","Donn Thomas. * Copyright © 1992 John T. Benson Publishing Co/Adm. by CopyCare.","Donn Thomas","","",
"Are the prayers of the saints","","Matt Redman * Copyright © 1998 Thankyou Music","Matt Redman","","",
"Are we the people","","Noel & Tricia Richards. * Copyright © 1996 Kingsway's Thankyou Music.","Noel Richards | Tricia Richards","","",
"Around You such beauty","","Steve & Vikki Cook * Copyright © 1999 PDI Worship/Adm. by CopyCare","Steve Cook | Vikki Cook","","",
"As for me and my house,","","Jim Bailey * Copyright © 1997 Thankyou Music","Jim Bailey","","",
"As high as the heavens ;","You are the voice of hope;","2002 Thankyou Music","Lara Martin (Abundant Life Ministries)","SOF #1711","",
"As one in Christ the Lord (SH08-09)","","2008 Thankyou Music","Stuart Barbour","","",
"As sure as gold is precious","","Robin Mark * Copyright © 1998 Daybreak Music Ltd","Robin Mark","","",
"As the deer pants (Richard Lewis)","","Richard Lewis. * Copyright © 1997 Kingsway's Thankyou Music.","Richard Lewis","","",
"As the deer for the water","","Martin J. Nystrom. * Copyright © 1983 Restoration Music Ltd./ Adm. by Sovereign Music UK.","Martin J. Nystrom","","",
"As water to the thirsty,","","Timothy Dudley-Smith. * Copyright © Timothy Dudley-Smith.","Timothy Dudley-Smith","","",
"As we are gathered","","John Daniels. * Copyright © 1979 Word's Spirit of Praise Music/ Adm. by CopyCare.","John Daniels","","",
"As we behold You,","","David Baroni. * Copyright © 1992 Pleasant Hill Music/John T. Benson Publishing Co/Adm. by CopyCare.","David Baroni","","",
"As we bring our songs","","Graham Kendrick * Copyright © 2002 Make Way Music","Graham Kendrick","","",
"As we come today,","","Matt Redman * Copyright © 2000 Thankyou Music","Matt Redman","","",
"As we come with praise","","Dale Garratt. * Copyright © 1982 Scripture in Song, a division of Integrity Music/Adm. by Kingsway's Thankyou Music.","Dale Garratt","","",
"As we lift up Your name,","","Paul Baloche * Copyright © 1996 Integrity's Hosanna! Music/Sovereign Music UK","Paul Baloche","","",
"As we see the world","","Lex Loizides. * Copyright © 1996 Kingsway's Thankyou Music.","Lex Loizides","","",
"As we seek Your face,","","Dave Bilbrough. * Copyright © 1990 Kingsway's Thankyou Music.","Dave Bilbrough","","",
"As with gladness","","W. C. Dix. *","W. C. Dix","","",
"Ascribe greatness","","Mary Lou King and Mary Kirkbride Barthow. * Copyright © 1979 Peter West/ Integrity's Hosanna! Music/ Adm. by Kingsway's Thankyou Music.","Mary Lou King and Mary Kirkbride Barthow","","",
"At the foot of the cross,","","Copyright © 1992 Sovereign Music UK. *","Derek Bond","","",
"At the foot of the cross","","Tré Sheppard * Copyright © 2002 Thankyou Music","Tré Sheppard","","",
"At the name of Jesus","","Caroline Maria Noel. *","Caroline Maria Noel","","",
"At this table we remember","","Martin E. Leckebusch * Copyright © 2000 Kevin Mayhew Ltd","Martin E. Leckebusch","","",
"At this time of giving,","","Graham Kendrick. * Copyright © 1988 Make Way Music.","Graham Kendrick","","",
"At Your feet we fall;","","David Fellingham. * Copyright © 1982 Kingsway's Thankyou Music.","David Fellingham","SOF #34","",
"Awake, awake, O Zion, (Fellingham)","","Nathan Fellingham * Copyright © 1999 Thankyou Music","Nathan Fellingham","","",
"Awake, awake, O Zion,","","David J. Hadden. * Copyright © 1982 Word's Spirit of Praise Music/Adm. by CopyCare.","David J. Hadden","","",
"Awake, my soul","","Owen Hurter * Copyright © 2001 Thankyou Music","Owen Hurter","","",
"Away in a manger,","","Verses 1 & 2 unknown. * Verse 3 J. T. McFarland.","Author Unknown","","",
"Baby Jesus in the manger,","","Gill Broomhall. * Copyright © 1992 Kingsway's  Thankyou Music & Sovereign Music UK.","Gill Broomhall","","",
"Be bold, be strong;","","Morris Chapman. * Copyright © 1983 Word Music/Adm. by CopyCare.","Morris Chapman","SOF #37","",
"Be free","","Dave Bilbrough. * Copyright © 1991 Kingsway's Thankyou Music.","Dave Bilbrough","","",
"Be glorified,","","Billy Funk. * Copyright © 1991 Integrity's Praise! Music/Adm. by Kingsway's Thankyou Music.","Billy Funk","","",
"Be known to us in breaking bread,","","James Montgomery. *","James Montgomery","","",
"Be lifted up","","Paul Oakley * Copyright © 2001 Thankyou Music","Paul Oakley","","",
